Название и ссылка на клиническую рекомендацию,"МКБ, к ней относящийся",Зелёные рекомендации,Жёлтые рекомендации,Красные рекомендации,Наименование и ссылка на стандарт (если есть)
https://algom.ru/post/nkr00708?lang=rus,"К29.0 - Острый геморрагический гастрит

Острый (эрозивный) гастрит с кровотечением

К29.1 - Другие острые гастриты

К29.2 - Алкогольный гастрит

К29.3 - Хронический поверхностный гастрит

К29.4 - Хронический атрофический гастрит

Атрофия слизистой оболочки

К29.5 - Хронический гастрит неуточненный

Хронический гастрит:

· антральный

· фундальный

К29.6 - Другие гастриты

Гастрит гипертрофический гигантский

Гранулематозный гастрит

Болезнь Менетрие

К29.7 - Гастрит неуточненный

К29.8 - Дуоденит

К29.9 - Гастродуоденит неуточненный

K31.8 - Другие уточненные болезни желудка и двенадцатиперстной кишки



",1. ЭГДС ( )                                                                                                                                                                                                                              2. Общий анализ крови(0.77\4С)                                                                                                                                                                                                               3. Биопсия при ЭГДС( 0.72\2А)                                                                                                                                                                                                                  4. Уреазный тест   (0.56\1А)                                                                                                                                                                                                             5. Определение антигена хеликобактера пилори в фекалиях(0.15\1А)                                                                                                                                                                                6.Экспресс-тест(биопсийный) на хеликобактер (0.72\2В)                                                                   ,"1.определение антител к хеликобактер пилори (Helicobacter pylori) в крови (3В)                                                                                                      2. Антитела к париетальным клеткам и антитела к фактору Касла (2В)                                                                                                                                                                                                  3. Анализ крови на пепсиноген I, пепсиноген II и гастрин-17(0.13\2A)                                                                            4. Биопсия при ЭГДС методом OLGA (4C) ", ,https://algom.ru/post/sta00571-Standart_medicinskoi_pomosh'i_vzroslim_pri_gastrite_i_duodenite_(diagnostika_i_lechenie)?lang=rus
"Неалкогольная жировая болезнь печени, 2024 г. (одобрено НПС МЗ РФ)","К75. 8 – другие уточненные воспалительные болезни печени.                                      K76. 0 – жировая печень (дегенерация печени), не классифицированная в других рубриках.",1. Общий анализ крови(0.067\5С)                                                                                                                                                                                                     2. Общий анализ мочи(2В),"1. Общетерапевтический биохимический анализ крови(0.067\5С) Креатинин - 2В                                                                                   2. ГГТ(гамма-глутамилтрансфераза), ЩФ(щелочная фосфатаза)(0.067\5C)                                                                                                          3. Глюкоза крови, гликозилированного гемоглобина крови (HbA1c), проведение глюкозотолерантного теста (ГТТ)(0,04\5C)                                                                                                                                                              4.Индекс HOMA(HOMA-IR)(0.013\5С)                                                                                                                                 5.Липидограмма(0.067\4С)                                                                                                                                                   6. Коагулограмма(0.067\4С)                                                                                                                                                   7. Определение альбумина в моче(2В)                                                                                                                             8.Определение  антигена (HBsAg) вируса гепатита B (Hepatitis B virus) в крови, качественное исследование;  , определение антител к вирусу гепатита C (Hepatitis C virus) в крови (anti-HCV IgG и anti-HCV IgM) исследование уровня иммуноглобулина G  в крови (IgG)(5С)                                                                    9. Трансферрин, церулоплазмин(5С)
10. УЗИ органов брюшной полости(0.067\2В)                                                                                                                     11. Оценка параметра контролируемого затухания (Controlled Attenuation Parameter – CAP) ультразвука(Стеатометрия)(2А)                                                                                                                                      13. МРТ органов брюшной полости(0.0033\1А)                                                                                                             14. Чрескожная биопсия печени, исследование(гистологическое) биопсийного материала(0.0022\5С)                          15. Эластометрия печени(0.002\2В)
16. Транзиентная эластография(2В)                                                                                                                                         17. ЭГДС(5С)                                                                                                                                                                    18. Протонная магнитно-резонансная спектроскопия(0.00067)",,https://algom.ru/post/sta00610-Standart_medicinskoi_pomosh'i_vzroslim_pri_nealkogolnoi_zhirovoi_bolezni_pecheni_(diagnostika__lechenie_i_dispansernoe_nablyudenie)?lang=rus
 https://endoexpert.ru/dokumenty-i-prikazy/krkholetsistit/,"К81 – Холецистит
Исключен: с холелитиазом (K80.-)
К81.0 – Острый холецистит:
Абсцесс желчного пузыря без камней
Ангиохолецистит без камней
Холецистит:
- эмфизематозный (острый) без камней
- гангренозный без камней
- гнойный без камней
Эмпиема желчного пузыря без камней
Гангрена желчного пузыря без камней
К81.1 – Хронический холецистит
К81.8 – Другие формы холецистита
К81.9 – Холецистит неуточненный","1. Общий анализ крови(1\5С)                                                                                                                                                                                                          2. С-реактивный белок(1\2С)                                                                                                                                                                                                        3.  УЗИ печени, желчного пузыря и желчных протоков(1\1А) ","1. Общетерапевтический биохимический анализ крови, Щелочная фосфатаза(ЩФ),амилаза(1\5С)                                      2. Коагулограмма(1\5С)                                                                                                                                                                                  3. Микробиологическое (культурального) исследования крови на стерильность(посев крови)(4С)                                   4. Микроскопическое исследование кала на яйца и личинки гельминтов(5С)                                                              5.Компьютерная томография органов брюшной полости с внутривенным болюсным контрастированием(0.01\2В)                                                                                                                                           6. Магнитно-резонансная томография органов брюшной полости(0.001\1А)                                                                7. Гепатобилисцинтиграфия с иминодиуксусной кислотой (HIDA-сканирование)(2В)                                                8. МРХПГ, эндосонография панкреатобилиарной зоны(0.001\5С)                                                                                                                               9. ЭКГ(5С)","не рекомендуется проведение пероральной холецистографии и холангиографии, внутривенной холецистографии и холангиографии(5С)",https://algom.ru/post/sta00503-Standart_medicinskoi_pomosh'i_vzroslim_pri_ostrom_holecistite_(diagnostika_i_lechenie)?lang=rus
https://algom.ru/search/nkr00193-YAzvennii_kolit__2024_g__(odobreno_NPS_MZ_RF)?query=%D0%BA%D0%BE%D0%BB%D0%B8%D1%82&page_type=27&lang=rus,"K51.0 – Язвенный (хронический) энтероколит

K51.1 – Язвенный (хронический) илеоколит

K51.2 – Язвенный (хронический) проктит

K51.3 – Язвенный (хронический) ректосигмоидит

K51.4 – Псевдополипоз ободочной кишки

K51.5 – Мукозный проктоколит

K51.8 – Другие язвенные колиты

K51.9 – Язвенный колит неуточненный



",1. Клинический анализ крови(4С)                                                                                                                                                                                                          2. УЗИ органов брюшной полости(2А)                                                                                                                                                                                                                  3. УЗИ органов малого таза трансвагинально или трансабдоминально(2А)              ,"1.Биохимический общетерапевтический анализ крови,  альбумин, общий холестерин, калий (К+), натрий (Na+), хлориды (Сl-), , фибриноген  в крови, С-реактивный белок в сыворотке крови,  гамма-ГТ(ГГТ), лактактдегидрогеназа(ЛДГ), щелочная фосфатаза в крови (4С)                                                                                          2.  Исследование кала на токсины А и В Clostridioides difficile (4С)                                                                                                                                3. Исследования кала на наличие токсина клостридии диффициле (Clostridioides difficile) методом ИФА с определением токсинов А и В, исследования кала на наличие токсина клостридии диффициле (Clostridioides difficile) методом ПЦР с определением токсинов А и В(4С)                                                                                        4. Исследование биопсийного (операционного) материала методом ПЦР в материале биоптатов слизистой оболочки толстой кишки (из очагов поражения) на наличие цитомегаловируса (ЦМВ) (4С)                                                                                                                                                                 5. Илеоколоноскопия, сигмоидоскопия (4С)                                                                                                                6. Обзорная рентгенография органов брюшной полости(4С)                                                                            7. Биопсия слизистой оболочки толстой кишки(5С)                                                                                                  8.ЭНДО-УЗИ Тонкого кишечника, Эндо-УЗИ толстого кишечника.(3В)                                                                                                            9. МРТ толстой кишки с контрастом(4С)                                                                                                                         10. КТ толстой кишки с контрастом, КТ тонкой кишки с контрастированием(3В)                                                                                         11. Иригоскопия с контрастом(4С)",,
https://algom.ru/search/nkr00892-Sindrom_razdrazhennogo_kishechnika__2024_g__(odobreno_NPS_MZ_RF)?query=%D0%BA%D0%BE%D0%BB%D0%B8%D1%82&page_type=27&lang=rus,"K52.3 Неопределенный колит

K52.9 Неинфекционный гастроэнтерит и колит неуточненный

К58.0 Синдром раздражённого кишечника с диареей

K58.1 Синдром раздраженного кишечника с преобладанием диареи

K58.2 Синдром раздраженного кишечника с преобладанием запоров

K58.3 Синдром раздраженного кишечника со смешанными проявлениями

K58.8 Другой или неуточненный синдром раздраженного кишечника

К58.9 Синдром раздражённого кишечника без диареи

K59.1 Функциональная диарея

K59.2 Неврогенная возбудимость кишечника, не классифицированная в других рубриках

K59.8 Другие уточненные функциональные кишечные нарушения

K59.9 Функциональное нарушение кишечника неуточненное



",1. Клинический анализ крови(0.11\3В)                                                                                                                                                                                          2. Определение содержания антител к тканевой трансглютаминазе в крови (AT к tTG) IgA  и IgG (0.068\2В)                                                                             3. Кальпротектин(0.056\2В)                                                                                                                                                                                                              4. Проведение водородно-метанового дыхательного теста с декстрозой или лактулозой(2В)                        ,"1. С-реактивный белок(0.11\3В)                                                                                                                        2.Биохимический общетерапевтический анализ крови, альбумин, общий холестерин, калий (К+), натрий (Na+), хлоридов (Сl-), , фибриногена  в крови, гамма-ГТ(ГГТ), лактатдегидрогеназа(ЛДГ), щелочная фосфатаза  (0.11\3В)                                                                                                                                                                        3. Кал на скрытую кровь (0.11\5С)                                                                                                                                    4. Копрограмма(3В)                                                                                                                                                     5. Антитела к тканевой трансглютаминазе в крови(3В)                                                                                                   6. ИФА экспресс-исследование кала на токсины A и B клостридий(Clostridioides difficile) (0.056\4С)         7.УЗИ органов брюшной полости(0.11\5С)                                                                                                                     8.. ЭГДС(0.079\5С)                                                                                                                                                          9. Биопсий 12-перстной кишки при ЭГДС ***при повышение  АТ к tTG (0.028\2В)                                                                       10. Проведение колоноскопии с биопсией тонкой кишки, проведение колоноскопии с биопсией толстой кишки(0.017\0.11\3В)                              ",,https://algom.ru/post/sta00485-Standart_medicinskoi_pomosh'i_vzroslim_pri_sindrome_razdrazhennogo_kishechnika_(diagnostika_i_lechenie)?lang=rus
https://algom.ru/post/nkr00273-Hronicheskii_pankreatit__2024_g__(odobreno_NPS_MZ_RF)?lang=rus,"K.86.0 Хронический панкреатит алкогольной этиологии

K.86.1 Другие хронические панкреатиты

K.86.2 Киста поджелудочной железы

K.86.3 Ложная киста поджелудочной железы

K.86.8 Другие уточненные болезни поджелудочной железы

K.90.3 Панкреатическая стеаторея



","1. Амилаза (2В)                                                                                                                                                                                                                                2. Панкреатическая эластаза-1 в кале(1В)                                                                                                                                                            3.Гликированный гемоглоби(2В)                                                                                                                                                                                          4.Глюкоза крови(2В)                                                                                                                                                                                                                           5. Глюкозотолерантный тест(2В)                                                                                                                                                                                                      6. УЗИ органов брюшной полости(1С)                                                                                                                                                                                                         7.Общий анализ крови(4С)    
","1. Рентген органов брюшной полости(5С)                                                                                                                                                                2. КТ органов брюшной полости без контраста  (5С)                                                                                                        3. КТ органов брюшной полости с контрастом *при конкрементах или образования выявленных на УЗИ более 5м (1С)                                                                                                                                                                             4. Эндосонография панкреатобилиарной зоны(3С)                                                                                                         5. МРТ органов брюшной полости(2В)                                                                                                             6. Магнитно-резонансная холангиопанкреатография с контрастным усилением или без(2В)                                                  7. МРХПГ, эндосонография панкреатобилиарной зоны(ЭСПБЗ) со стимуляцией секретином(3В)                                                                                                                                                8. Определение общего белка, альбумин, определение концентрации ретинол-связывающего белка, витамин B12 (цианокобаламина), фолиевая кислота(В9), трансферрин, общий магний, цинк (4С)          9. Денситометрия(рентген)(5С)                                                                                                                                          10. Водородный дыхательный тест с углеводной нагрузкой для диагностики СИБР (4С)                                                                                                                                                                               11. IgG4 сыворотки крови  (1А) 
                                                                                                                                                                                 ","1.Эндоскопическая ретроградная холангиопанкреатикография (ретроградная холангиопанкреатография, ЭРХПГ) *красная из-за больших рисков(5С)      ",
"Цирроз и фиброз печени, 2025 г. (одобрено НПС МЗ РФ)","K74.0 Фиброз печени.

K74.1 Склероз печени.

K74.2 Фиброз печени в сочетании со склерозом печени.

K74.4 Вторичный билиарный цирроз.

K74.5 Билиарный цирроз неуточненный.

K74.6 Другой и неуточненный цирроз печени.

К72 Печеночная недостаточность, не классифицированная в других рубриках.

K72.0 Острая и подострая печеночная недостаточность.

K72.1 Хроническая печеночная недостаточность.

K72.9 Печеночная недостаточность неуточненная.

К76.7 Гепаторенальный синдром.


",1. Общий анализ крови 0.82\4С                                                                                                                                                                                                            2. Общий анализ мочи 0.82\5С                                                                                                                                                                                                               ,"1.Определение суммарных антител классов М и G (anti-HCV IgG и anti-HCV IgM) к вирусу гепатита C (Hepatitis С virus) в крови (0.1\5С)                                                                                                                                                         2.Определение антигена (HbsAg) вируса гепатита B (Hepatitis В virus) в крови(0.1\5С)                                                     3.Определение антител к вирусу гепатита D (Hepatitis D virus) в крови(0.01\5С)                                                    4.Иммунохроматографическое экспресс-исследование кала на токсины А и В клостридии (Clostridium difficile)(0.1\3С)                                                                                                                                                                 5.определение уровня общего белка и альбумина в асцитической жидкости, полученной при диагностическом парацентезе (лапароцентезе)(4С)                                                                                                                        6. Определение соотношения белковых фракций методом электрофореза(0.41\5С)                                                            7.Определение активности амилазы в перитонеальной жидкости(0.25\5С)                                                                                        8. Исследование уровня иммуноглобулинов в крови(0.25\5С)                                                                                              9. Исследование уровня ферритина в крови(0.1\5С)                                                                                                       10. Исследование уровня церулоплазмина в крови(0.1\5С)                                                                                                            11.Микробиологическое (культуральное) исследование крови на стерильность(0.092\4С)                                                        12.Микробиологическое (культуральное) исследование мочи на аэробные и факультативно-анаэробные условно-патогенные микроорганизмы(0.092\4С)                                                                                               13. Исследование уровня прокальцитонина в крови(0.092)                                                                                               14. ЭКГ( 0.034\4С)                                                                                                                                                              15.Рентгенденситометрия(4С)                                                                                                                                           16.Исследование уровня аммиака в крови(5С)                                                                                                                                     17.Коагулограмма 0.82\4С                                                                                                                                                                                                               18. Анализ крови биохимический общетерапевтический, альбумин, билирубин связанный (конъюгированный), щелочная фосфатаза, гамма-глютамилтрансфераза(ГГТ)(0.82\4С)                                                                                                                                                                              19.Микроскопическое исследование перитонеальной (асцитической) жидкости(0.25\2В)
20. Бактериологическое исследование перитонеальной жидкости на аэробные и факультативно-анаэробные условно-патогенные микроорганизмы(0.25\2В)                                                                                                                                                                                                                         21. Микроскопическое исследование перитонеальной (асцитической) жидкости(0.25\2В)                                                                                                            22. Исследование уровня С-реактивного белка в сыворотке крови(0.16)                                                                                                                                               23.УЗИ органов брюшной полости(0.82\4С)                                                                                                                                                                                         24. ЭГДС(0.71\4С)                                                                                                                                                                                                                               25.Магнитно-резонансная томография органов брюшной полости с внутривенным контрастированием(0.092\1А)                                                                                                                                       26. Компьютерная томография органов брюшной полости с внутривенным болюсным контрастированием(0.18\1А)                                                                                                                           27.Проведение контраст-усиленного ультразвукового исследования (КУУЗИ)(1А) *При наличие противопоказаний к КТ с контрастом и МРТ с контрастом                                ",1. Двухэнергитическая рентгеновская абсорбциометрия(5С),https://algom.ru/post/sta00556-Standart_medicinskoi_pomosh'i_vzroslim_pri_cirroze_i_fibroze_pecheni_(diagnostika_i_lechenie)?lang=rus
https://algom.ru/post/nkr00172-Analnaya_tresh'ina__2024_g__(odobreno_NPS_MZ_RF)?lang=rus,"K60.0 Острая трещина заднего прохода.

K60.1 Хроническая трещина заднего прохода.

K60.2 Трещина заднего прохода неуточненная.",,1. Аноскопия(5С)                                                                                                                                                                                2. Ректороманоскопия(5с)                                                                                                                                             3. Колоноскопия(5С)                                                                                                                                                        4. Сфинктерометрия(3С)                                                                                                                                                     5. Профилометрия(3С)                                                                                                                                                        6. УЗИ прямой кишки трансректальное;,"Специфическая лабораторная диагностика анальных трещин не существует. Лабораторные диагностические исследования следует выполнять пациентам в ходе подготовки и планирования хирургического вмешательства для исключения сопутствующих заболеваний и состояний, а также при необходимости проведения дифференциальной диагностики.

",
Краткие руководства,"K 50.0 – Болезнь Крона тонкой кишки

K 50.1 – Болезнь Крона толстой кишки

K 50.8 – Другие разновидности болезни Крона

K 50.9 – Болезнь Крона неуточненная","1. Общий анализ крови(5С)                                                                                                                                                                                                                    2. Фекальный кальпротектин(2А)                                                                                                                                                                                                     3.МРТ малого таза с контрастом(1А)                                                                                                                                                                                                4. КТ малого таза с контрастом(1А)                                                                                                                                                                                                      5. Проведение трансабдоминального УЗИ органов брюшной полости, забрюшинного пространства, малого таза(2В)                                                                6. Видеокапсульная эндоскопия(1В)","1. Определение уровня железа в крови(5С)                                                                                                                            2. Ферритин(5С)                                                                                                                                                                          3. Трансферрин(5С)                                                                                                                                                            4. Определение уровня C-реактивного белка, общий белок, альбуминов, глюкозы, АЛТ, АСТ, холестерина, К+, Na+, Сl-, щелочной фосфатазы, фибриногена крови(5С)                                                                          5.  Фолиевая кислота, витамин В-12, сывороточное железо, общая железосвязывающая способность сыворотки, ферритин(3В)                                                                                                                                                           6.  Исследование кала на токсины А и В Cl. difficile для исключения клостридиальной инфекции(4С)                                        7. Исследования кала для идентификации токсигенной Cl. difficile методами: иммуноферментного анализа с определением токсинов А и В и/или иммунохемилюминесцентного анализа с определением токсинов А и В и/или полимеразной цепной реакции (ПЦР)(4С)                                                                                           8.Микроскопическое исследование кала на гельминты(5С)                                                                                          9. Исследование уровня свободного и связанного билирубина, креатинина, мочевины, общего кальция в крови,  амилазы в крови и общего (клинического) анализа мочи(5С)                                                                            10. Ректороманоскопии(5С)                                                                                                                                                  11. Рентгенография брюшной полости(5С)                                                                                                                       12. Колоноскопия c биопсией из зоны патологического процесса(5C)                                                                                              
13. ЭГДС(ФГДС)(4С)
14. Эндоректальное УЗИ (ЭУЗИ)(4С)                                                                                                                                15. Рентгенография тонкой кишки с контрастированием (с бариевой взвесью)(4С)                                                                  16. Гистологическое исследование биопсийного материала(5С)                                                                                     17. Двухбаллонная интестиноскопия(4С)",,
https://algom.ru/post/nkr00277-YAzvennaya_bolezn__2024_g__(odobreno_NPS_MZ_RF)?lang=rus,"Язва желудка (К25)

К25.0 – острая с кровотечением

К25.1 – острая с прободением

К25.2 – острая с кровотечением и прободением

К25.3 – острая без кровотечения и прободения

К25.4 – хроническая или неуточненная с кровотечением

К25.5 – хроническая или неуточненная с прободением

К25.6 – хроническая или неуточненная с кровотечением и прободением

К25.7 – хроническая без кровотечения и прободения

К25.9 – не уточненная как острая или хроническая без кровотечения и прободения

Язва двенадцатиперстной кишки (К26)

К26.0 – острая с кровотечением

К26.1 – острая с прободением

К26.2 – острая с кровотечением и прободением

К26.3 – острая без кровотечения и прободения

К26.4 – хроническая или неуточненная с кровотечением

К26.5 – хроническая или неуточненная с прободением

К26.6 – хроническая или неуточненная с кровотечением и прободением

К26.7 – хроническая без кровотечения и прободения

К26.9 – не уточненная как острая или хроническая без кровотечения и прободения

Пептическая язва неуточненной локализации (К27)

К27.0 – острая с кровотечением

К27.4 – хроническая или неуточненная язва с кровотечением

Гастроеюнальная язва (К28)

К28.0 – острая с кровотечением

К28.4 – хроническая или неуточненная с кровотечением

Другие болезни желудка и двенадцатиперстной кишки (К31)

К31.1 – гипертрофический пилоростеноз у взрослых

К31.2 – стриктура в виде песочных часов и стеноз желудка

К31.6 – свищ желудка и двенадцатиперстной кишки

К31.9 – болезнь желудка и двенадцатиперстной кишки неуточненная



",1. Общий анализ крови(4С)                                                                                                                                                                                                                2. Исследование кала на скрытую кровь(2А)                                                                                                                                                                                      3. ЭГДС(ФГДС)(5С)                                                                                                                                                                                                                                 4. Рентгенография желудка и двенадцатиперстной кишки(Рентгенография органов брюшной полости)(2В)                                                                                               5. КТ органов брюшной полости(2В)                                                                                                                                                                                                  6. Множественная щипцевая биопсия из краёв язвенного дефекта(1В)                                                                                                                                       7. 13С-уреазного дыхательного теста на Helicobacter pylori(2В)                                                                                                                                                           8. Определения антигена H. pylori в кале(2В)                                                                                                                                                                                          9. Быстрый уреазный тест при ЭГДС(2В),"1. Введение водорастворимого контрастного препарата (V08A Рентгеноконтрастные средства, содержащие йод) с проведением обзорной рентгенографии органов брюшной полости,  КТ органов брюшной полости c контрастом(4С)                                                                                                                                       2. УЗИ органов брюшной полости(5С)                                                                                                                                      3. Бактериологическое исследование перитонеальной жидкости на аэробные и факультативно-анаэробные условно-патогенные микроорганизмы, микробиологическое (культурального) исследование перитонеальной жидкости на анаэробные неспорообразующие микроорганизмы, микробиологическое (культуральное) исследование перитонеальной жидкости на грибы (дрожжевые и мицелиальные) с определением чувствительности микроорганизмов к антимикробным химиотерапевтическим препаратам(4С)


",,
